                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.72235,                0.37378,                0.87485,                0.99884,                0.99573,                0.99492,                0.84737,                0.73261,                0.33561,                 0.8519,             0.00049134,             0.00049134,             0.00049134
                     65,                0.70989,                0.36636,                0.86978,                0.99824,                0.99658,                0.99495,                0.85094,                0.71634,                 0.3375,                 0.8439,              0.0004878,              0.0004878,              0.0004878
                     66,                0.73521,                  0.374,                0.87291,                      1,                0.99547,                  0.995,                0.85232,                0.71111,                0.33603,                0.84959,             0.00048427,             0.00048427,             0.00048427
                     67,                 0.7057,                0.36281,                0.87245,                0.99815,                0.99744,                  0.995,                0.84853,                0.70331,                0.31919,                0.84342,             0.00048074,             0.00048074,             0.00048074
                     68,                0.70487,                0.36301,                0.87308,                0.99838,                0.99658,                0.99467,                0.84757,                0.71017,                0.32624,                0.84779,              0.0004772,              0.0004772,              0.0004772
                     69,                0.71829,                0.36592,                0.87422,                0.99914,                0.99706,                  0.995,                0.85083,                  0.711,                0.32906,                0.84666,             0.00047367,             0.00047367,             0.00047367
                     70,                0.71506,                0.37011,                0.87539,                0.99866,                0.99744,                  0.995,                0.85208,                 0.7085,                0.32097,                0.84811,             0.00047013,             0.00047013,             0.00047013
                     71,                0.70857,                0.36122,                0.86982,                 0.9982,                0.99744,                  0.995,                0.85791,                0.70354,                0.31899,                0.84358,              0.0004666,              0.0004666,              0.0004666
                     72,                0.70047,                 0.3615,                0.87041,                0.99731,                0.99744,                0.99496,                0.85515,                0.70686,                0.32435,                0.84397,             0.00046306,             0.00046306,             0.00046306
                     73,                0.70761,                 0.3607,                0.87137,                 0.9994,                0.99658,                  0.995,                0.85325,                 0.7066,                0.31497,                0.84491,             0.00045953,             0.00045953,             0.00045953
                     74,                0.69131,                 0.3526,                 0.8651,                0.99813,                0.99829,                0.99463,                0.85265,                0.71718,                0.32097,                0.84665,               0.000456,               0.000456,               0.000456
                     75,                0.71398,                0.35783,                0.87033,                0.99816,                0.99744,                0.99482,                0.85642,                0.70053,                 0.3115,                0.83973,             0.00045246,             0.00045246,             0.00045246
                     76,                0.70682,                 0.3543,                0.87166,                0.99895,                0.99744,                  0.995,                0.85286,                0.70992,                0.31593,                0.84565,             0.00044893,             0.00044893,             0.00044893
                     77,                0.70495,                0.35918,                0.87043,                0.99809,                0.99658,                0.99495,                0.85625,                0.69711,                0.31933,                0.84032,             0.00044539,             0.00044539,             0.00044539
                     78,                0.71144,                0.36179,                0.87146,                0.99737,                0.99744,                0.99474,                0.85605,                0.70102,                0.32389,                0.84144,             0.00044186,             0.00044186,             0.00044186
                     79,                0.70524,                0.35209,                 0.8728,                0.99622,                0.99658,                 0.9942,                0.85377,                0.71502,                0.31795,                0.84701,             0.00043832,             0.00043832,             0.00043832
                     80,                0.69361,                0.34977,                0.86682,                0.99976,                0.99573,                  0.995,                0.85884,                0.69549,                0.31518,                0.84048,             0.00043479,             0.00043479,             0.00043479
                     81,                0.70716,                 0.3543,                0.87046,                0.99658,                0.99551,                0.99451,                0.85178,                0.70627,                0.32273,                0.84386,             0.00043126,             0.00043126,             0.00043126
                     82,                0.69924,                0.35222,                 0.8694,                0.99819,                0.99744,                0.99469,                0.84823,                0.69528,                0.32093,                0.84109,             0.00042772,             0.00042772,             0.00042772
                     83,                0.68577,                0.34762,                0.86938,                0.99901,                0.99658,                0.99473,                0.85826,                0.69738,                0.31307,                0.83718,             0.00042419,             0.00042419,             0.00042419
                     84,                0.68643,                0.35058,                0.86644,                0.99897,                0.99658,                0.99468,                 0.8539,                0.70945,                0.31156,                0.83707,             0.00042065,             0.00042065,             0.00042065
                     85,                0.69358,                0.34949,                0.86737,                0.99907,                0.99744,                  0.995,                0.85175,                 0.6964,                0.30788,                0.84145,             0.00041712,             0.00041712,             0.00041712
                     86,                0.68941,                0.34821,                0.86922,                0.99794,                0.99744,                0.99499,                0.85576,                0.69923,                0.31475,                0.83785,             0.00041358,             0.00041358,             0.00041358
                     87,                0.69824,                0.35296,                0.86876,                0.99851,                0.99658,                  0.995,                0.85362,                0.69962,                0.31025,                0.84232,             0.00041005,             0.00041005,             0.00041005
                     88,                0.68387,                0.34481,                0.87006,                0.99827,                0.99573,                0.99481,                0.85864,                0.68549,                0.31089,                0.83783,             0.00040652,             0.00040652,             0.00040652
                     89,                0.68556,                 0.3464,                0.87081,                0.99908,                0.99744,                  0.995,                0.85556,                 0.6956,                 0.3032,                0.84307,             0.00040298,             0.00040298,             0.00040298
                     90,                0.69475,                0.34398,                0.87047,                0.99935,                0.99744,                  0.995,                 0.8562,                0.69077,                0.30955,                0.83809,             0.00039945,             0.00039945,             0.00039945
                     91,                0.69456,                0.34366,                 0.8664,                 0.9999,                0.99744,                  0.995,                0.86105,                0.69452,                0.30409,                0.83689,             0.00039591,             0.00039591,             0.00039591
                     92,                0.68918,                0.34205,                0.87066,                0.99908,                0.99744,                  0.995,                0.85649,                0.70019,                0.30726,                0.84049,             0.00039238,             0.00039238,             0.00039238
                     93,                0.68296,                0.34106,                0.86648,                0.99937,                0.99658,                  0.995,                 0.8612,                0.69045,                0.30269,                0.83946,             0.00038884,             0.00038884,             0.00038884
                     94,                0.68583,                0.34338,                0.86645,                0.99977,                0.99744,                  0.995,                0.86081,                0.69263,                0.30339,                0.84365,             0.00038531,             0.00038531,             0.00038531
                     95,                0.68142,                0.34349,                0.86806,                0.99737,                0.99744,                0.99496,                0.85853,                0.69154,                0.30293,                0.84151,             0.00038178,             0.00038178,             0.00038178
                     96,                0.67008,                0.33732,                 0.8618,                0.99914,                0.99714,                 0.9948,                0.85996,                0.69063,                0.30285,                0.83859,             0.00037824,             0.00037824,             0.00037824
                     97,                0.67875,                0.33534,                0.86584,                0.99968,                0.99744,                  0.995,                 0.8543,                0.68986,                0.29779,                0.83672,             0.00037471,             0.00037471,             0.00037471
                     98,                0.66916,                0.33624,                0.86116,                0.99914,                0.99732,                  0.995,                0.85825,                0.68915,                0.29811,                 0.8369,             0.00037117,             0.00037117,             0.00037117
                     99,                 0.6807,                0.33888,                0.86681,                0.99892,                0.99573,                  0.995,                0.85924,                0.69964,                 0.2996,                0.83738,             0.00036764,             0.00036764,             0.00036764
                    100,                 0.6794,                0.34165,                0.86887,                0.99902,                0.99744,                  0.995,                0.86027,                0.68478,                0.29379,                 0.8398,              0.0003641,              0.0003641,              0.0003641
                    101,                0.68296,                0.34231,                0.86932,                0.99882,                0.99658,                  0.995,                0.84752,                0.69161,                0.30836,                 0.8403,             0.00036057,             0.00036057,             0.00036057
                    102,                0.68072,                0.33715,                0.86347,                0.99679,                0.99744,                0.99482,                0.86378,                0.68055,                0.29741,                0.83977,             0.00035704,             0.00035704,             0.00035704
                    103,                0.68286,                0.33964,                0.86693,                0.99964,                0.99744,                  0.995,                0.85758,                0.69177,                0.29652,                0.83795,              0.0003535,              0.0003535,              0.0003535
                    104,                0.65731,                0.33039,                0.85741,                 0.9988,                0.99744,                0.99499,                0.86142,                0.69035,                0.30153,                0.83574,             0.00034997,             0.00034997,             0.00034997
                    105,                0.68207,                0.33775,                 0.8636,                0.99995,                0.99744,                  0.995,                0.85472,                 0.6905,                0.29998,                0.84119,             0.00034643,             0.00034643,             0.00034643
                    106,                0.66912,                0.33054,                0.86059,                0.99965,                0.99744,                  0.995,                0.86277,                0.68361,                0.29734,                0.83823,              0.0003429,              0.0003429,              0.0003429
                    107,                  0.667,                0.33173,                0.85948,                0.99968,                0.99744,                  0.995,                0.85183,                 0.6928,                0.29927,                0.83968,             0.00033936,             0.00033936,             0.00033936
                    108,                0.67046,                 0.3301,                0.85885,                0.99875,                0.99744,                0.99499,                0.85811,                0.68804,                0.29953,                0.83866,             0.00033583,             0.00033583,             0.00033583
                    109,                0.67063,                0.33121,                0.86099,                0.99821,                0.99744,                0.99489,                0.86268,                0.68947,                0.29717,                0.83522,              0.0003323,              0.0003323,              0.0003323
                    110,                0.66958,                 0.3288,                0.86037,                0.99729,                0.99744,                0.99499,                0.86188,                0.68315,                0.29711,                0.83647,             0.00032876,             0.00032876,             0.00032876
                    111,                0.65372,                0.32332,                0.85625,                0.99896,                0.99744,                  0.995,                0.86457,                0.68351,                0.29438,                0.83623,             0.00032523,             0.00032523,             0.00032523
                    112,                0.66351,                0.32889,                0.86037,                0.99914,                0.99642,                  0.995,                0.86236,                  0.685,                0.29639,                0.83809,             0.00032169,             0.00032169,             0.00032169
                    113,                0.66208,                0.32629,                0.86644,                0.99587,                0.99658,                0.99454,                0.86152,                0.68152,                0.29479,                0.83835,             0.00031816,             0.00031816,             0.00031816
                    114,                0.66177,                0.32832,                0.85887,                      1,                0.99658,                  0.995,                 0.8631,                0.68557,                0.29727,                0.83768,             0.00031462,             0.00031462,             0.00031462
                    115,                0.65871,                0.32227,                0.86065,                0.99902,                0.99744,                  0.995,                0.85849,                0.69083,                0.29281,                0.83474,             0.00031109,             0.00031109,             0.00031109
                    116,                0.66639,                0.32277,                0.86298,                0.99779,                0.99658,                0.99469,                0.86206,                 0.6787,                0.29565,                0.83542,             0.00030756,             0.00030756,             0.00030756
