                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.65671,                0.33042,                0.86343,                0.99573,                0.99744,                0.99495,                0.85861,                0.68427,                0.29407,                0.83837,             0.00030049,             0.00030049,             0.00030049
                    119,                0.65438,                0.32466,                 0.8622,                0.99986,                0.99658,                  0.995,                0.86236,                0.68098,                0.28604,                0.83724,             0.00029695,             0.00029695,             0.00029695
                    120,                0.65527,                0.32365,                0.86033,                0.99973,                0.99744,                  0.995,                 0.8622,                0.68493,                0.28775,                0.84045,             0.00029342,             0.00029342,             0.00029342
                    121,                0.64017,                0.31966,                0.85749,                0.99994,                0.99744,                  0.995,                0.86553,                0.68924,                0.28898,                0.83915,             0.00028988,             0.00028988,             0.00028988
                    122,                0.65061,                0.32172,                0.86173,                0.99991,                0.99744,                  0.995,                0.86313,                 0.6905,                0.28814,                0.84113,             0.00028635,             0.00028635,             0.00028635
                    123,                0.64553,                0.32065,                0.85503,                0.99914,                0.99633,                0.99495,                0.86174,                0.69044,                0.29451,                0.83862,             0.00028282,             0.00028282,             0.00028282
                    124,                0.65281,                0.32347,                0.85977,                0.99983,                0.99744,                  0.995,                0.85622,                0.68511,                0.28766,                0.83965,             0.00027928,             0.00027928,             0.00027928
                    125,                0.65287,                0.32009,                 0.8611,                0.99987,                0.99744,                  0.995,                0.86214,                0.68972,                0.28591,                0.83876,             0.00027575,             0.00027575,             0.00027575
                    126,                0.63938,                0.31756,                0.85922,                      1,                0.99741,                  0.995,                0.86608,                0.68646,                0.28453,                0.83652,             0.00027221,             0.00027221,             0.00027221
                    127,                0.64596,                0.31802,                0.85851,                0.99727,                0.99744,                  0.995,                 0.8625,                0.68175,                0.28536,                0.83762,             0.00026868,             0.00026868,             0.00026868
                    128,                0.63797,                0.31193,                0.85835,                0.99817,                0.99744,                  0.995,                0.86284,                0.68718,                0.28567,                0.83722,             0.00026514,             0.00026514,             0.00026514
                    129,                0.63853,                0.31431,                0.85776,                0.99882,                0.99744,                  0.995,                0.85439,                0.68739,                0.28479,                0.83749,             0.00026161,             0.00026161,             0.00026161
                    130,                0.64153,                0.31542,                0.85616,                0.99914,                0.99742,                  0.995,                0.85975,                0.69025,                0.28309,                0.83853,             0.00025808,             0.00025808,             0.00025808
                    131,                0.64886,                0.31758,                0.86141,                0.99819,                0.99744,                0.99499,                0.86216,                0.68841,                0.28618,                0.83955,             0.00025454,             0.00025454,             0.00025454
                    132,                0.64852,                0.31478,                0.86072,                0.99823,                0.99744,                  0.995,                0.86127,                0.69597,                0.28796,                0.84053,             0.00025101,             0.00025101,             0.00025101
                    133,                0.64178,                0.31618,                0.86204,                 0.9996,                0.99744,                  0.995,                0.86442,                0.68527,                0.28403,                0.83929,             0.00024747,             0.00024747,             0.00024747
                    134,                0.63765,                0.31149,                 0.8613,                0.99973,                0.99744,                  0.995,                 0.8645,                0.68588,                0.28259,                0.83847,             0.00024394,             0.00024394,             0.00024394
                    135,                0.64909,                0.31477,                0.86021,                 0.9982,                0.99744,                  0.995,                 0.8648,                0.68322,                0.28238,                0.83858,              0.0002404,              0.0002404,              0.0002404
